 nnnn ,   dte   ,dd/mm/yyyy,hh:mm:ss,   #1   ,   #2   ,   #3   ,   #4   ,   #5   ,   #6   ,   #7   ,   #8   ,   #9   ,   #10  
      ,         ,  date    , time   ,       4,       5,       6,       7,       8,       9,      25,      13,      21,      17
     1,666527425,12/02/2021,10:30:25,  399.58,  392.27,  393.61,   25.05,   21.73,   21.90,    0.17,15683.23,    0.00,15672.04
     2,666527426,12/02/2021,10:30:26,  401.68,  394.40,  395.46,   13.29,   12.54,   13.24,    0.54, 1541.59, 8818.70, 8948.21
     3,666527427,12/02/2021,10:30:27,  401.47,  393.37,  394.44,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
     4,666527428,12/02/2021,10:30:28,  401.05,  393.21,  394.27,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
     5,666527429,12/02/2021,10:30:29,  401.39,  393.37,  393.86,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
     6,666527430,12/02/2021,10:30:30,  401.13,  393.14,  394.23,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
     7,666527436,12/02/2021,10:30:36,  400.77,  392.88,  393.66,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
     8,666527438,12/02/2021,10:30:38,  401.12,  392.71,  393.96,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
     9,666527439,12/02/2021,10:30:39,  401.32,  393.09,  394.28,    0.00,    0.00,    1.42,    0.50,  316.59,    0.00,  316.64
    10,666527440,12/02/2021,10:30:40,  401.29,  393.78,  394.90,   13.95,   13.02,   13.44,    0.03, 7746.79, 2601.81, 9243.55
    11,666527441,12/02/2021,10:30:41,  400.62,  393.59,  394.24,   13.36,   12.30,   12.48,    0.57,  262.99, 8705.66, 8710.45
    12,666527442,12/02/2021,10:30:42,  400.52,  391.96,  392.89,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    13,666527443,12/02/2021,10:30:43,  399.89,  392.34,  393.37,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    14,666527444,12/02/2021,10:30:44,  400.94,  392.32,  393.40,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    15,666527445,12/02/2021,10:30:45,  400.68,  392.97,  394.02,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    16,666527446,12/02/2021,10:30:46,  400.89,  392.90,  394.07,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    17,666527448,12/02/2021,10:30:48,  387.21,  380.51,  381.70,   43.24,   40.12,   37.32,    0.62,26728.82,    0.00,26715.38
    18,666527449,12/02/2021,10:30:49,  393.79,  385.81,  387.95,   16.95,   16.80,   15.96,    0.77, 6924.35, 8763.58,11166.46
    19,666527450,12/02/2021,10:30:50,  394.42,  387.96,  390.06,   19.03,   18.66,   17.65,    0.67, 9671.78, 7890.51,12501.00
    20,666527451,12/02/2021,10:30:51,  400.75,  392.91,  393.53,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    21,666527452,12/02/2021,10:30:52,  400.87,  392.82,  393.41,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    22,666527453,12/02/2021,10:30:53,  401.43,  393.03,  394.32,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    23,666527454,12/02/2021,10:30:54,  401.16,  393.60,  394.27,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    24,666527455,12/02/2021,10:30:55,  396.89,  389.90,  392.22,   19.11,   19.00,   19.04,    0.14,12971.88,    0.00,12958.90
    25,666527456,12/02/2021,10:30:56,  401.78,  394.04,  395.18,   13.37,   12.54,   13.09,    0.22, 1245.35, 8845.80, 8933.98
    26,666527457,12/02/2021,10:30:57,  401.33,  392.72,  394.17,    1.13,    0.96,    0.94,    0.45,  149.77, -676.54,  693.78
    27,666527458,12/02/2021,10:30:58,  400.64,  392.64,  394.15,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    28,666527459,12/02/2021,10:30:59,  400.64,  392.67,  393.21,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    29,666527460,12/02/2021,10:31:00,  400.11,  392.26,  393.35,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    30,666527461,12/02/2021,10:31:01,  400.35,  392.84,  393.79,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    31,666527462,12/02/2021,10:31:02,  392.94,  385.53,  388.01,   23.56,   22.03,   22.22,    0.70,15223.56,    0.00,15215.15
    32,666527463,12/02/2021,10:31:03,  393.18,  385.24,  387.44,   17.13,   17.21,   16.39,    0.64, 7992.37, 8064.02,11379.96
    33,666527464,12/02/2021,10:31:04,  394.79,  386.70,  388.38,   16.75,   16.74,   15.92,    0.87, 7071.97, 8590.05,11146.74
    34,666527465,12/02/2021,10:31:05,  401.06,  392.98,  393.80,    5.47,    4.96,    4.44,    0.43, 2960.43,  693.32, 3407.28
    35,666527466,12/02/2021,10:31:06,  401.16,  393.67,  393.99,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    36,666527467,12/02/2021,10:31:07,  401.38,  393.43,  394.67,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    37,666527468,12/02/2021,10:31:08,  400.90,  393.28,  394.25,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    38,666527469,12/02/2021,10:31:09,  401.00,  392.68,  393.51,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    39,666527470,12/02/2021,10:31:10,  401.26,  393.81,  395.44,   16.04,   15.05,   14.96,    0.09,10535.02,    0.00,10547.44
    40,666527471,12/02/2021,10:31:11,  401.86,  394.49,  395.96,   13.44,   12.60,   13.06,    0.57,  801.45, 8933.69, 8978.94
    41,666527472,12/02/2021,10:31:12,  401.39,  393.48,  394.92,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    42,666527473,12/02/2021,10:31:13,  401.81,  393.95,  395.22,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    43,666527474,12/02/2021,10:31:14,  401.99,  393.99,  394.99,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    44,666527475,12/02/2021,10:31:15,  402.15,  393.84,  394.63,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    45,666527476,12/02/2021,10:31:16,  401.20,  393.68,  394.75,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    46,666527477,12/02/2021,10:31:17,  382.59,  374.06,  376.59,   47.92,   50.86,   52.23,    0.66,32926.08,    0.00,32946.93
    47,666527478,12/02/2021,10:31:18,  393.91,  386.83,  388.59,   17.03,   17.01,   16.15,    0.71, 7426.87, 8496.67,11291.47
    48,666527479,12/02/2021,10:31:19,  394.33,  387.65,  390.36,   21.63,   20.95,   19.62,    0.74, 9910.23, 9932.63,14049.81
    49,666527480,12/02/2021,10:31:20,  401.52,  393.21,  393.69,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    50,666527481,12/02/2021,10:31:21,  401.24,  392.70,  394.06,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    51,666527482,12/02/2021,10:31:22,  400.91,  392.94,  394.37,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    52,666527483,12/02/2021,10:31:23,  402.20,  394.43,  394.97,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    53,666527485,12/02/2021,10:31:25,  396.97,  391.09,  392.78,   18.80,   18.57,   18.99,    0.25,12819.62,    0.00,12810.45
    54,666527486,12/02/2021,10:31:26,  401.68,  394.54,  395.41,   13.24,   12.60,   13.25,    0.15, 2241.83, 8679.99, 8958.81
    55,666527487,12/02/2021,10:31:27,  401.16,  393.40,  394.27,    2.63,    2.31,    2.22,    0.47,  245.49,-1617.96, 1636.62
    56,666527488,12/02/2021,10:31:28,  401.67,  393.71,  394.59,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    57,666527489,12/02/2021,10:31:29,  401.90,  393.99,  394.72,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    58,666527490,12/02/2021,10:31:30,  402.07,  393.81,  395.18,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    59,666527491,12/02/2021,10:31:31,  402.15,  393.80,  394.65,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    60,666527492,12/02/2021,10:31:32,  401.11,  392.67,  394.23,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    61,666527493,12/02/2021,10:31:33,  394.41,  386.73,  388.78,   18.32,   17.75,   16.80,    0.63,11903.71,    0.00,11920.26
    62,666527494,12/02/2021,10:31:34,  394.67,  386.94,  388.33,   16.95,   16.83,   16.09,    0.87, 7033.44, 8752.02,11224.31
    63,666527495,12/02/2021,10:31:35,  398.90,  391.33,  393.15,   13.14,   11.81,   10.65,    0.52, 7078.35, 3966.76, 8113.53
    64,666527496,12/02/2021,10:31:36,  401.14,  393.62,  394.47,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    65,666527497,12/02/2021,10:31:37,  401.53,  393.69,  394.21,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    66,666527498,12/02/2021,10:31:38,  401.92,  394.48,  394.84,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    67,666527499,12/02/2021,10:31:39,  402.56,  394.95,  395.88,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    68,666527500,12/02/2021,10:31:40,  399.89,  393.68,  394.23,   26.17,   23.69,   22.92,    0.16,16656.07,    0.00,16644.38
    69,666527501,12/02/2021,10:31:41,  400.98,  393.78,  395.18,   13.23,   12.59,   13.26,    0.54, 1452.98, 8832.75, 8950.08
    70,666527502,12/02/2021,10:31:42,  401.57,  393.83,  395.06,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    71,666527503,12/02/2021,10:31:43,  401.80,  394.03,  395.20,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    72,666527504,12/02/2021,10:31:44,  401.22,  393.67,  394.78,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    73,666527505,12/02/2021,10:31:45,  400.45,  392.24,  393.62,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    74,666527506,12/02/2021,10:31:46,  401.46,  393.41,  394.70,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    75,666527507,12/02/2021,10:31:47,  395.88,  389.72,  391.62,   17.37,   16.67,   16.21,    0.40,11382.34,    0.00,11389.77
    76,666527508,12/02/2021,10:31:48,  393.85,  387.32,  388.27,   17.04,   16.80,   15.94,    0.75, 4510.56,10270.99,11215.50
    77,666527509,12/02/2021,10:31:49,  394.26,  386.88,  388.72,   19.36,   23.27,   21.94,    0.84,10953.83, 9543.66,14520.31
    78,666527510,12/02/2021,10:31:50,  401.03,  393.94,  394.71,    0.88,    0.80,    0.70,    0.26,  460.16,  107.00,  544.04
    79,666527511,12/02/2021,10:31:51,  401.18,  394.05,  394.21,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    80,666527512,12/02/2021,10:31:52,  400.66,  393.05,  394.32,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    81,666527513,12/02/2021,10:31:53,  400.69,  392.52,  393.27,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    82,666527514,12/02/2021,10:31:54,  395.30,  389.41,  390.72,   21.06,   19.17,   19.34,    0.39,13457.03,    0.00,13471.53
    83,666527515,12/02/2021,10:31:55,  400.97,  394.10,  395.14,   13.63,   13.06,   13.54,    0.07, 3639.66, 8456.27, 9214.94
    84,666527516,12/02/2021,10:31:56,  401.20,  393.67,  394.04,    6.85,    5.96,    5.76,    0.51,  301.89,-4235.69, 4250.11
    85,666527517,12/02/2021,10:31:57,  401.13,  393.75,  394.46,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    86,666527518,12/02/2021,10:31:58,  400.68,  392.74,  393.64,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    87,666527519,12/02/2021,10:31:59,  401.12,  393.23,  394.57,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    88,666527520,12/02/2021,10:32:00,  401.28,  393.17,  394.51,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    89,666527522,12/02/2021,10:32:02,  400.63,  393.22,  393.75,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    90,666527523,12/02/2021,10:32:03,  392.74,  385.50,  387.47,   22.14,   21.23,   19.87,    0.60,14194.31,    0.00,14194.24
    91,666527524,12/02/2021,10:32:04,  393.84,  387.04,  388.70,   16.91,   16.71,   15.85,    0.85, 6670.78, 8924.04,11145.50
    92,666527525,12/02/2021,10:32:05,  394.97,  389.00,  390.84,   17.80,   17.54,   17.02,    0.60,10122.43, 6143.14,11849.23
    93,666527526,12/02/2021,10:32:06,  401.11,  393.16,  394.33,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    94,666527527,12/02/2021,10:32:07,  401.44,  393.69,  395.02,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    95,666527528,12/02/2021,10:32:08,  401.44,  393.64,  394.14,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    96,666527529,12/02/2021,10:32:09,  400.71,  393.58,  394.57,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
    97,666527530,12/02/2021,10:32:10,  391.01,  385.94,  386.20,   42.12,   38.65,   36.68,    0.27,26306.00,    0.00,26267.93
    98,666527531,12/02/2021,10:32:11,  400.92,  394.25,  395.30,   13.55,   12.91,   13.34,    0.49, 2452.26, 8780.21, 9121.30
    99,666527532,12/02/2021,10:32:12,  400.46,  392.94,  393.65,    0.88,    0.79,    0.74,    0.40,  268.18, -161.37,  550.72
   100,666527533,12/02/2021,10:32:13,  400.76,  393.46,  393.77,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   101,666527534,12/02/2021,10:32:14,  401.29,  393.67,  394.78,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   102,666527535,12/02/2021,10:32:15,  401.01,  394.07,  394.68,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   103,666527536,12/02/2021,10:32:16,  400.97,  393.20,  394.75,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   104,666527537,12/02/2021,10:32:17,  395.77,  389.40,  391.66,   18.71,   17.54,   17.23,    0.43,12107.90,    0.00,12113.10
   105,666527538,12/02/2021,10:32:18,  393.35,  386.07,  387.99,   16.83,   16.94,   16.14,    0.72, 4833.13,10115.78,11214.91
   106,666527539,12/02/2021,10:32:19,  393.87,  386.49,  388.49,   16.81,   16.80,   15.94,    0.87, 8055.93, 7692.94,11158.31
   107,666527540,12/02/2021,10:32:20,  400.30,  393.08,  393.69,    1.84,    1.72,    1.51,    0.36, 1009.56,  202.39, 1159.35
   108,666527541,12/02/2021,10:32:21,  400.80,  393.21,  394.76,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   109,666527542,12/02/2021,10:32:22,  401.09,  393.51,  394.02,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   110,666527543,12/02/2021,10:32:23,  401.35,  394.12,  395.01,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   111,666527544,12/02/2021,10:32:24,  399.97,  392.28,  394.10,    4.16,    9.52,   10.71,    1.00, 5534.88,    0.00, 5541.81
   112,666527545,12/02/2021,10:32:25,  401.58,  394.63,  395.76,   13.29,   12.75,   13.17,    0.01, 8993.65,    0.00, 8991.15
