Hoist¹,HoistSalesDescription,Tons,meters,FEM,SERIE,ROLLZ,RopeD,TYPE,LSm/min,Column1,CTm/min,Column2,CTpcs,OVR,Model,Type2,NomI(A),1stkW,2ndkW,Voltage(V),S/DSP,IPPROTECT2,MODEL2,BRAKE,FR,1stPole,2ndPole,Model3,Type4,NomI(A)5,1stkW6,2ndkW7,Voltage(V)8,S/DSP9,IPPROTECT210,MODEL211,BRAKE12,FR13,1stPole14,2ndPole15
1455,3.2MT308H7V44/1MKD5220/6,3.2,7,2m/M5,MT308,41,7,DoubleGirder,4,1.3,20,6,1,Loadcell,CT112M-4/12BR2402.5/0.83kW400V50HzIP55TP,Cylindrical,5.1,2.5,0.83,400V,DoubleLiftingSpeed,IP55,CT112M,BR,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1472,3.2MT308H10V44/1MKD5220/6K,3.2,10,2m/M5,MT308,41,7,DoubleGirder,4,1.3,20,6,1,Loadcell,CT112M-4/12BR2402.5/0.83kW400V50HzIP55TP,Cylindrical,5.1,2.5,0.83,400V,DoubleLiftingSpeed,IP55,CT112M,BR,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1494,3.2MT308H13V44/1MKD5220/6K,3.2,13,2m/M5,MT308,41,7,DoubleGirder,4,1.3,20,6,1,Loadcell,CT112M-4/12BR2402.5/0.83kW400V50HzIP55TP,Cylindrical,5.1,2.5,0.83,400V,DoubleLiftingSpeed,IP55,CT112M,BR,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1517,3.2MT308H7V64/1MKD5220/6,3.2,7,2m/M5,MT308,41,7,DoubleGirder,6,2,20,6,1,Loadcell,MB132S-4/12FDB172404/1.33kW400V50HzIP55TP,Cylindrical,9.1,4,1.33,400V,DoubleLiftingSpeed,IP55,MB132S,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1529,3.2MT308H10V64/1MKD5220/6K,3.2,10,2m/M5,MT308,41,7,DoubleGirder,6,2,20,6,1,Loadcell,MB132S-4/12FDB172404/1.33kW400V50HzIP55TP,Cylindrical,9.1,4,1.33,400V,DoubleLiftingSpeed,IP55,MB132S,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1550,3.2MT308H13V64/1MKD5220/6K,3.2,13,2m/M5,MT308,41,7,DoubleGirder,6,2,20,6,1,Loadcell,MB132S-4/12FDB172404/1.33kW400V50HzIP55TP,Cylindrical,9.1,4,1.33,400V,DoubleLiftingSpeed,IP55,MB132S,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1628,4MT310H7V44/1MKD5220/6,4,7,3m/M6,MT310,41,10,DoubleGirder,4,1.3,20,6,1,Loadcell,MB132S-4/12FDB172404/1.33kW400V50HzIP55TP,Cylindrical,9.1,4,1.33,400V,DoubleLiftingSpeed,IP55,MB132S,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1629,5MT312H7V44/1MKD5220/6,5,7,2m/M5,MT312,41,10,DoubleGirder,4,1.3,20,6,1,Loadcell,MB132S-4/12FDB172404/1.33kW400V50HzIP55TP,Cylindrical,9.1,4,1.33,400V,DoubleLiftingSpeed,IP55,MB132S,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1644,4MT310H10V44/1MKD5220/6K,4,10,3m/M6,MT310,41,10,DoubleGirder,4,1.3,20,6,1,Loadcell,MB132S-4/12FDB172404/1.33kW400V50HzIP55TP,Cylindrical,9.1,4,1.33,400V,DoubleLiftingSpeed,IP55,MB132S,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1645,5MT312H10V44/1MKD5220/6K,5,10,2m/M5,MT312,41,10,DoubleGirder,4,1.3,20,6,1,Loadcell,MB132S-4/12FDB172404/1.33kW400V50HzIP55TP,Cylindrical,9.1,4,1.33,400V,DoubleLiftingSpeed,IP55,MB132S,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1666,4MT310H13V44/1MKD5220/6K,4,13,3m/M6,MT310,41,10,DoubleGirder,4,1.3,20,6,1,Loadcell,MB132S-4/12FDB172404/1.33kW400V50HzIP55TP,Cylindrical,9.1,4,1.33,400V,DoubleLiftingSpeed,IP55,MB132S,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1667,5MT312H13V44/1MKD5220/6K,5,13,2m/M5,MT312,41,10,DoubleGirder,4,1.3,20,6,1,Loadcell,MB132S-4/12FDB172404/1.33kW400V50HzIP55TP,Cylindrical,9.1,4,1.33,400V,DoubleLiftingSpeed,IP55,MB132S,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1528,3.2MT316H10V82/1MKD5220/6,3.2,10,2m/M5,MT316,21,10,DoubleGirder,8,2.6,20,6,1,Loadcell,MB132M-4/12FDB172405/1.6kW400V50HzIP55TP,Cylindrical,11.5,5,1.6,400V,DoubleLiftingSpeed,IP55,MB132M,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1544,3.2MT316H14V82/1MKD5220/6,3.2,14,2m/M5,MT316,21,10,DoubleGirder,8,2.6,20,6,1,Loadcell,MB132M-4/12FDB172405/1.6kW400V50HzIP55TP,Cylindrical,11.5,5,1.6,400V,DoubleLiftingSpeed,IP55,MB132M,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1559,3.2MT316H20V82/1MKD5220/6,3.2,20,2m/M5,MT316,21,10,DoubleGirder,8,2.6,20,6,1,Loadcell,MB132M-4/12FDB172405/1.6kW400V50HzIP55TP,Cylindrical,11.5,5,1.6,400V,DoubleLiftingSpeed,IP55,MB132M,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1591,3.2MT316H26V82/1MKD5220/6,3.2,26,2m/M5,MT316,21,10,DoubleGirder,8,2.6,20,6,1,Loadcell,MB132M-4/12FDB172405/1.6kW400V50HzIP55TP,Cylindrical,11.5,5,1.6,400V,DoubleLiftingSpeed,IP55,MB132M,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1656,5MT313H7V44/1MKD5220/6,5,7,3m/M6,MT313,41,10,DoubleGirder,4,1.3,20,6,1,Loadcell,MB132M-4/12FDB172405/1.6kW400V50HzIP55TP,Cylindrical,11.5,5,1.6,400V,DoubleLiftingSpeed,IP55,MB132M,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
1657,6.3MT316H7V44/1MKD5220/6,6.3,7,2m/M5,MT316,41,10,DoubleGirder,4,1.3,20,6,1,Loadcell,MB132M-4/12FDB172405/1.6kW400V50HzIP55TP,Cylindrical,11.5,5,1.6,400V,DoubleLiftingSpeed,IP55,MB132M,FDB17,50Hz,4,12,T80B-4/12BR2000.37/0.12kW400V50HzIP55TP,Cylindrical,0.79,0.37,0.12,400V,DoubleLiftingSpeed,IP55,T80B,BR,50Hz,4,12
